region_clean,n_wines,lat_mean,lon_mean
gevrey chambertin les goulots,1,47.233,4.978124
gevrey chambertin petite chapelle,7,47.22007400000001,4.965159
gevrey chambertin poissenot,6,47.223268,4.979761
gevrey chambertin premier cru,28,47.228465746308196,4.956623696202734
gigondas,65,44.156468904982695,4.872897361577142
givry,15,46.7935,4.742
givry 1er cru la grande berge,1,46.79189,4.74438
givry cellier aux moines,4,46.7887,4.74327
givry clos charle,1,46.7898,4.7431
givry clos du vernoy,1,46.7933,4.7441
givry clos jus,1,46.7941,4.7396
givry clos marole,4,46.79055,4.74369
givry clos saint paul,2,46.7921,4.7455
givry en choue,1,46.7926,4.7414
givry le vigron,1,46.7908,4.7429
givry les bois chevaux,4,46.7931,4.7425
givry premier cru,3,46.794900000000005,4.7438
givry servoisine,4,46.79025,4.74587
graves,67,44.59999999999995,-0.3999999999999995
graves de vayres,6,44.53118,0.19971000000000003
gres de montpellier,13,43.588229999999996,3.890120000000001
haut medoc,204,45.19999999999997,-0.7666700000000025
haute vallee de laude,7,42.98333000000001,2.26667
hautes cotes de beaune,41,47.04444659499168,4.812631757103056
hermitage,69,45.0616,4.847199999999992
irancy,15,47.713710999999996,3.661520000000001
julienas,19,46.2355,4.70997
jura,3,46.73510000000001,5.6703
la chaniere,1,46.7905,4.7402
la grande rue,8,47.1454347,4.9522
la londe,3,43.1372,6.23941
la platiere,2,46.95,4.75
la tache,3,47.1418,4.9516
ladoix,15,47.063200000000016,4.8747
ladoix la corvee,2,47.0609,4.86092
ladoix les buis,1,47.0576,4.8621
ladoix les grechons et foutrieres,1,47.07,4.8702
ladoix les joyeuses,1,47.066531,4.870
languedoc,149,43.60057601202888,3.8827043556146803
languedoc la clape,36,43.15000000000002,3.0999999999999983
languedoc roussillon,74,43.599999999999945,3.3833300000000004
latricieres chambertin,13,47.237,4.963400000000001
le pays cathare,3,43.25512,2.34876
les arvelets,2,47.158,4.9515
les baux de provence,19,43.74320999999998,4.708650000000001
les bertins,2,46.9511,4.7899
les boucherottes,3,47.0135,4.8355
les chanlins bas,5,46.942,4.7638
les chaponnieres,2,46.943,4.7641
les charmots,7,46.95100000000001,4.789000000000001
les combes dessus,1,47.03079,4.737937
les croix noires,5,46.953,4.777
les fremiers,3,46.9443,4.7667
les grands epenots,4,47.073272,4.883233
les pezerolles,3,47.02020000000001,4.8419
les poutures,5,46.9425,4.765
les rugiens bas,5,46.9447,4.7713
les saussilles,1,46.9515,4.791
libournais,1,44.9123,-0.24029
limoux,16,42.51848,3.225940000000001
lirac,35,44.01666999999998,4.716669999999996
listrac,35,45.08332999999999,-0.83333
loire valley,2,47.5,0.75
luberon,27,43.79999999999998,5.3
lussac st emilion,16,44.88333,-0.14999999999999997
