Winery,Wine,year,vintage_rating,vintage_rating_count,wine_rating_count,wine_rating,region,price,cepages,latitude,longitude
Cellier des Chartreux,CAB Grand Prébos Cabernet Sauvignon 2023,2023.0,4.0,939,939,4.0,gard,6.88,shiraz-syrah,43.83333000000002,4.416669999999998
Cellier des Chartreux,Le Chant du Merle Merlot 2023,2023.0,3.5,433,433,3.5,gard,6.88,shiraz-syrah,43.83333000000002,4.416669999999998
Cellier des Chartreux,Le Chant du Merle Merlot 2024,2024.0,3.5,433,433,3.5,gard,6.88,shiraz-syrah,43.83333000000002,4.416669999999998
Château Pouyau de Boisset,Cuvée Réserve Blaye - Côtes de Bordeaux 2018,2018.0,3.6,32,182,3.5,blaye-cotes-de-bordeaux,6.9,cabernet-sauvignon,45.13333000000003,-0.66667
Domaine Les Prunelles,Merlot 2023,2023.0,3.3,43,43,3.3,vin-de-pays-doc,6.9,shiraz-syrah,43.61193999999985,3.8772200000000017
Les Vignerons du Sommiérois,Tiberius Rouge 2023,2023.0,3.3,183,183,3.3,vin-de-pays-doc,6.9,shiraz-syrah,43.61193999999985,3.8772200000000017
Gérard Bertrand,Naturae Merlot 2023,2023.0,3.6,56,2323,3.5,vin-de-pays-doc,6.9,shiraz-syrah,43.61193999999985,3.8772200000000017
Château La Galante,Bordeaux Supérieur 2020,2020.0,3.6,323,323,3.6,bordeaux-superieur,6.9,cabernet-sauvignon,44.837559984680006,-0.4981958329616381
Domaine du Clos Roca,Le P'tit Roca 2024,2024.0,3.7,270,270,3.7,languedoc,6.9,shiraz-syrah,43.60057601202888,3.88270435561468
Gérard Bertrand,Autrement Cabernet Sauvignon 2022,2022.0,3.5,50,1145,3.4,vin-de-pays-doc,6.9,shiraz-syrah,43.61193999999985,3.8772200000000017
Château de la Greniere,Lussac Saint-Émilion 2022,2022.0,3.7,1054,1054,3.7,lussac-st-emilion,6.9,cabernet-sauvignon,44.88333,-0.1499999999999999
Gérard Bertrand,6ème Sens Rouge 2022,2022.0,3.6,238,3304,3.4,vin-de-pays-doc,6.9,shiraz-syrah,43.61193999999985,3.8772200000000017
Cellier des Demoiselles,Domaine des Vals Rouge 2024,2024.0,3.7,446,446,3.7,corbieres,6.94,shiraz-syrah,43.08158032658233,2.6854789880195296
Château du Donjon,Le P'tit Coup Rouge 2022,2022.0,3.5,253,253,3.5,coteaux-de-peyriac,6.95,shiraz-syrah,43.18332999999999,2.73333
Les Jamelles,Carignan 2022,2022.0,3.8,954,954,3.8,vin-de-pays-doc,6.95,shiraz-syrah,43.61193999999985,3.8772200000000017
Oisly Thésée,Vallée des Rois Gamay Touraine 2023,2023.0,3.6,64,64,3.6,touraine,6.95,cabernet-sauvignon,47.29999999999998,0.6999999999999997
Domaine de La Bastide - Vincent & Stéphanie Boyer,Côtes-du-Rhône Rouge 2023,2023.0,3.7,1242,1242,3.7,cotes-du-rhone,6.99,shiraz-syrah,44.26497540596176,4.645266570551067
Domaine Lafage,Le Manse 2019,2019.0,3.6,65,194,3.7,cotes-catalanes,6.99,shiraz-syrah,42.625,2.5
Domaine de la Perdrix,Pour ceux qui Rêvent le jour... Rouge 2024,2024.0,3.9,57,57,3.9,languedoc-roussillon,7.02,shiraz-syrah,43.599999999999945,3.3833300000000004
