Winery,Wine,year,vintage_rating,vintage_rating_count,wine_rating_count,wine_rating,region,price,cepages,latitude,longitude
Borie de Maurel,Belle de Nuit Minervois 2022,2022.0,4.0,27,567,4.0,minervois,23.0,grenache-noir,43.29984594640925,2.600652385480642
Château Grange-Neuve,Pomerol 2020,2020.0,4.1,3952,3953,4.1,pomerol,23.0,cabernet-sauvignon,44.9333645153018,-0.2052116998028527
Domaine Rousselin,Les Orientales Lesquerde 2018,2018.0,3.9,118,118,3.9,cotes-du-roussillon-villages,23.0,shiraz-syrah,42.68672903204232,2.684292528036307
Domaine Sainte Marie,1884 Côtes de Provence Rouge 2020,2020.0,4.2,131,131,4.2,cotes-de-provence,23.0,shiraz-syrah,43.01700000000003,1.7319999999999995
Domaine Fontanel,Prieuré Côtes du Roussillon Villages Tautavel 2017,2017.0,3.8,299,299,3.8,cotes-du-roussillon-villages,23.0,shiraz-syrah,42.68672903204232,2.684292528036307
Domaine de Sauzet,Cuvée du Champ de la Tour 2016,2016.0,4.2,132,132,4.2,languedoc,23.0,shiraz-syrah,43.60057601202888,3.88270435561468
Maison Bardet,Soeurette Saint-Emilion 2020,2020.0,4.0,36,59,4.0,saint-emilion,23.0,cabernet-sauvignon,44.90000000000005,-0.1500000000000002
Château Prieuré-Lichine,Confidences de Prieuré-Lichine Margaux 2017,2017.0,4.0,181,8064,3.9,margaux,23.0,cabernet-sauvignon,45.031126361371925,-0.6690579596607694
Domaine Bonnet-Cotton,Régnié les Buillats 2022,2022.0,4.0,439,439,4.0,regnie,23.0,gamay,46.267889999999994,4.731229999999998
Maxime-François Laurent,La Rubiconde 2022,2022.0,3.7,32,441,3.9,cotes-du-rhone,23.0,shiraz-syrah,44.26497540596176,4.645266570551067
Famille Jean-Pierre  Rambier - Domaine Haut-Lirou,Mas du Notaire Mon Acte Costières-de-Nîmes 2022,2022.0,4.0,48,48,4.0,costieres-de-nimes,23.0,shiraz-syrah,43.75112040688291,4.4166986800805415
Domaines Philippe Porcheron,Clos Margalaine Margaux 2020,2020.0,3.8,38,1380,4.0,margaux,23.0,cabernet-sauvignon,45.031126361371925,-0.6690579596607694
Domaine Jeanne Germain,La Foulée 2022,2022.0,3.8,51,51,3.8,saumur-champigny,23.0,cabernet-franc,47.24640293718296,-0.0762064647198947
Château du Tertre,Les Hauts du Tertre Margaux 2017,2017.0,4.0,250,7128,4.0,margaux,23.0,cabernet-sauvignon,45.031126361371925,-0.6690579596607694
Domaine Mee Godard,Beaujolais Villages 2022,2022.0,3.9,29,303,3.8,beaujolais-villages,23.0,gamay,46.114685816938135,4.689871898228441
Clos Marsalette,Pessac-Leognan 2020,2020.0,4.1,107,3784,4.0,pessac-leognan,23.0,cabernet-sauvignon,44.80321000000003,-0.5943200000000016
Domaine Magellan,Rouge 2023,2023.0,3.7,409,409,3.7,languedoc,23.0,shiraz-syrah,43.60057601202888,3.88270435561468
Domaine Chanzy,Rully 'En Rosey' Rouge 2021,2021.0,3.8,105,2792,3.9,rully,23.0,pinot-noir,46.842,4.743399999999998
Maison Bardet,Louisette Saint Emilion 2020,2020.0,3.6,44,44,3.6,st-emilion-grand-cru,23.0,cabernet-sauvignon,44.924,0.1555
Château Franc Le Maine,Saint-Émilion Sans Soufré 2017,2017.0,3.5,40,40,3.5,saint-emilion,23.0,cabernet-sauvignon,44.90000000000005,-0.1500000000000002
Domaine la Ferme Saint-Martin,Costancia 2021,2021.0,3.9,415,415,3.9,beaumes-de-venise,23.0,shiraz-syrah,44.19377247699347,5.05187
Mas Bruguiere,L'Arbouse Pic Saint-Loup 2021,2021.0,4.0,125,2241,3.9,pic-saint-loup,23.0,shiraz-syrah,43.8000000000001,3.850000000000008
Olivier Pithon,Cuvée Laïs Rouge 2021,2021.0,3.9,35,1612,3.8,cotes-du-roussillon,23.0,shiraz-syrah,42.688610000000054,2.894720000000005
Château Pédesclaux,Fleur de Pédesclaux Pauillac 2013,2013.0,3.9,671,7592,4.0,pauillac,23.0,cabernet-sauvignon,45.191720268700344,-0.7539020556638387
Domaine des Prés-Lasses,Le Castel Viel Faugères 2019,2019.0,4.0,746,746,4.0,faugeres,23.0,shiraz-syrah,43.56514235032611,3.0889050827624205
Château Mayne Lalande,Listrac-Médoc 2017,2017.0,3.7,29,1861,3.8,listrac,23.0,cabernet-sauvignon,45.08332999999999,-0.83333
Château Giscours,Haut-Médoc Giscours 2022,2022.0,3.7,10709,10709,3.7,haut-medoc,23.0,cabernet-sauvignon,45.19999999999997,-0.7666700000000025
Château Lalande,Saint-Julien 2021,2021.0,4.0,88,5281,3.9,saint-julien,23.0,cabernet-sauvignon,45.15179999999986,-0.747
Château Le Coteau,Margaux 2022,2022.0,4.0,3023,3023,4.0,margaux,23.0,cabernet-sauvignon,45.031126361371925,-0.6690579596607694
Domaine Anne Gros & Jean-Paul Tollot,Les Combettes 2023,2023.0,3.9,608,608,3.9,cotes-du-brian,23.0,shiraz-syrah,43.2964,2.6858
Château Cantemerle,Les Allées de Cantemerle Haut-Médoc 2016,2016.0,3.8,1003,9870,3.7,haut-medoc,23.0,cabernet-sauvignon,45.19999999999997,-0.7666700000000025
Château Le Prieuré,Délice du Prieuré Saint-Émilion Grand Cru 2014,2014.0,4.0,88,1014,4.1,st-emilion-grand-cru,23.0,cabernet-sauvignon,44.924,0.1555
Château Pontet-Fumet,Sans Soufre 2018,2018.0,4.1,42,42,4.1,saint-emilion,23.0,cabernet-sauvignon,44.90000000000005,-0.1500000000000002
Château Potensac,Chapelle de Potensac Médoc 2015,2015.0,3.8,1361,11319,3.8,medoc,23.0,cabernet-sauvignon,45.26666999999998,-0.7833299999999995
Olivier Pithon,Cuvée Laïs Rouge 2017,2017.0,3.9,124,1612,3.8,cotes-du-roussillon,23.0,shiraz-syrah,42.688610000000054,2.894720000000005
Domaine de Courbissac,Les Farradjales Minervois 2019,2019.0,3.8,270,270,3.8,minervois,23.0,shiraz-syrah,43.29984594640925,2.600652385480642
Vincent Paris,Les Côtes Saint-Joseph 2020,2020.0,3.9,100,1411,3.8,saint-joseph,23.0,shiraz-syrah,45.09011999999991,4.8076500000000015
Domaine Denis Carré,La Perriére Bourgogne Hautes Côtes de Beaune 2022,2022.0,3.8,1399,1399,3.8,hautes-cotes-de-beaune,23.0,pinot-noir,47.04444659499168,4.812631757103056
Château Altimar,Puy Versannes Saint-Émilion 2019,2019.0,4.3,91,342,4.3,saint-emilion,23.0,cabernet-sauvignon,44.90000000000005,-0.1500000000000002
Domaine Anne Gros & Jean-Paul Tollot,La Ciaude 2019,2019.0,3.9,1827,1827,3.9,minervois,23.03,shiraz-syrah,43.29984594640925,2.600652385480642
Laurent Perrachon,3 Mozaic Chénas 2022,2022.0,4.0,116,116,4.0,chenas,23.04,gamay,46.25545999999998,4.700249999999998
Éric Texier,Chat Fou 2020,2020.0,3.9,354,4228,3.8,cotes-du-rhone,23.04,shiraz-syrah,44.26497540596176,4.645266570551067
Domaine des Lauriers,Bourgogne Pinot Noir 2020,2020.0,3.5,36,348,3.3,bourgogne,23.04,pinot-noir,47.05070075730127,4.393923434528505
Château Brown,Pessac-Léognan 2024,2024.0,4.0,8433,8434,4.0,pessac-leognan,23.1,cabernet-sauvignon,44.80321000000003,-0.5943200000000016
Château La Tour de Bessan,Le Page de la Tour de Bessan Margaux 2015,2015.0,3.7,82,1014,3.7,margaux,23.1,cabernet-sauvignon,45.031126361371925,-0.6690579596607694
Bret Brothers,Cuvée Zen Juliénas Climat 'La Bottière' 2020,2020.0,4.0,47,159,4.1,julienas,23.1,gamay,46.2355,4.70997
Château Puygueraud,Francs - Côtes de Bordeaux 2010,2010.0,3.5,432,8616,3.7,cotes-de-francs,23.1,cabernet-sauvignon,42.955249999999985,1.7946999999999993
Château Vieux Robin,Bois de Lunier Médoc 2010,2010.0,3.7,361,361,3.7,medoc,23.1,cabernet-sauvignon,45.26666999999998,-0.7833299999999995
Domaine Grange Masson,Les Charmes Morgon 2023,2023.0,3.7,31,31,3.7,morgon,23.1,gamay,46.1676,4.6705
Château Pavie,Esprit de Pavie Bordeaux 2018,2018.0,4.0,245,8038,3.8,bordeaux,23.1,cabernet-sauvignon,44.8394884711832,-0.5397329917271372
Bastide du Claux,Le Claux 2023,2023.0,3.7,221,221,3.7,luberon,23.1,shiraz-syrah,43.79999999999998,5.3
Domaine des Prés-Lasses,Le Castel Viel Faugères 2017,2017.0,4.2,58,746,4.0,faugeres,23.1,shiraz-syrah,43.56514235032611,3.0889050827624205
Vignobles Meyre,Château Julien Haut-Médoc 2014,2014.0,3.5,84,919,3.6,haut-medoc,23.14,cabernet-sauvignon,45.19999999999997,-0.7666700000000025
Château Prieuré-Lichine,Confidences de Prieuré-Lichine Margaux 2018,2018.0,4.0,351,8064,3.9,margaux,23.24,cabernet-sauvignon,45.031126361371925,-0.6690579596607694
Régnard,Bourgogne Pinot Noir 2023,2023.0,3.8,40,1236,3.7,bourgogne,23.25,pinot-noir,47.05070075730127,4.393923434528505
Charles Joguet,Les Petites Roches Chinon 2021,2021.0,3.8,185,3954,3.7,chinon,23.25,cabernet-franc,47.16667,0.2333299999999997
Clos de Bouard,Montagne-Saint-Émilion 2020,2020.0,3.9,39,760,4.0,montagne-saint-emilion,23.3,cabernet-sauvignon,44.94963926938957,-0.1005511961981375
Château La Croix des Pins,La tête à l'envers 2023,2023.0,4.1,142,142,4.1,southern-rhone,23.34,shiraz-syrah,44.3,4.799999999999999
Château La Tour de l'Évêque,Sainte-Anne Rouge 2024,2024.0,3.8,56,56,3.8,cotes-de-provence,23.34,shiraz-syrah,43.01700000000003,1.7319999999999995
Château Le Conseiller,Bordeaux Supérieur 2015,2015.0,3.7,132,1158,3.7,bordeaux-superieur,23.4,cabernet-sauvignon,44.837559984680006,-0.4981958329616381
Château du Glana,Pavillon du Glana Saint-Julien 2020,2020.0,4.2,71,2452,3.9,saint-julien,23.4,cabernet-sauvignon,45.15179999999986,-0.747
Louis Jadot,Côte d'Or Bourgogne 2022,2022.0,3.9,1503,1503,3.9,bourgogne,23.4,pinot-noir,47.05070075730127,4.393923434528505
Denis Durantou,Château Montlandrie Castillon - Côtes de Bordeaux 2014,2014.0,3.9,298,2274,3.9,cotes-de-castillon,23.4,cabernet-sauvignon,44.849999999999945,-0.0333299999999999
Louis Latour,Pinot Noir Les Pierres Dorées 2021,2021.0,3.6,69,1766,3.6,coteaux-bourguignons,23.4,pinot-noir,47.0,4.75
Château de la Dauphine,Fronsac 2021,2021.0,3.8,48,6208,3.9,fronsac,23.4,cabernet-sauvignon,44.94528874639298,-0.2826621476031562
Château d'Issan,Blason d'Issan Margaux 2021,2021.0,4.0,92,12497,4.0,margaux,23.43,cabernet-sauvignon,45.031126361371925,-0.6690579596607694
Château de la Dauphine,Fronsac 2018,2018.0,4.0,449,6208,3.9,fronsac,23.44,cabernet-sauvignon,44.94528874639298,-0.2826621476031562
Michel Briday,Rully 1er Cru 'Champs Cloux' 2018,2018.0,3.7,171,171,3.7,rully-champs-cloux,23.45,pinot-noir,46.8452,4.7398
Domaine Ampelous,Derrière Chez Marie Minervois 2020,2020.0,3.8,57,57,3.8,minervois,23.49,shiraz-syrah,43.29984594640925,2.600652385480642
Château Les Palais,La Chapelle Corbières Boutenac 2020,2020.0,4.0,94,94,4.0,corbieres-boutenac,23.5,shiraz-syrah,43.14803866725092,2.719610999152898
Château de la Grille,Chinon Rouge 2021,2021.0,4.0,3249,3249,4.0,chinon,23.5,cabernet-franc,47.16667,0.2333299999999997
Domaine Les Ondines,Passion Vacqueyras Rouge 2017,2017.0,4.1,64,492,3.9,vacqueyras,23.5,shiraz-syrah,44.12728381735132,4.806080074188466
Maxime-François Laurent,La Rubiconde 2021,2021.0,3.8,32,441,3.9,cotes-du-rhone,23.5,shiraz-syrah,44.26497540596176,4.645266570551067
Domaine Les Ondines,Clos des Freres Vacqueyras 2021,2021.0,4.0,26,992,4.1,vacqueyras,23.5,shiraz-syrah,44.12728381735132,4.806080074188466
Château Falfas,Côtes de Bourg 2014,2014.0,3.8,446,2816,3.8,cotes-de-bourg,23.5,cabernet-sauvignon,45.049999999999976,-0.6333300000000005
Clos Marie,L'Olivette Pic Saint Loup 2022,2022.0,3.9,93,2323,3.8,pic-saint-loup,23.5,shiraz-syrah,43.8000000000001,3.850000000000008
L . Tramier & Fils,Bourgogne Hautes-Côtes de Beaune 2022,2022.0,3.6,227,227,3.6,hautes-cotes-de-beaune,23.5,pinot-noir,47.04444659499168,4.812631757103056
Domaine De Longue Toque,Vacqueyras Rouge 2019,2019.0,4.0,407,407,4.0,vacqueyras,23.5,shiraz-syrah,44.12728381735132,4.806080074188466
Château Les Croisille,La Pierre Cahors 2024,2024.0,4.0,159,159,4.0,cahors,23.5,malbec,44.44889000000001,1.4399999999999986
Mas de la Dame,Le Vallon Des Amants Les Baux de Provence 2022,2022.0,4.2,535,535,4.2,les-baux-de-provence,23.5,shiraz-syrah,43.74320999999998,4.708650000000001
Domaine Bonnet-Cotton,Régnié les Buillats 2020,2020.0,3.8,60,439,4.0,regnie,23.5,gamay,46.267889999999994,4.731229999999998
Domaine La Terrasse d'Elise,Le Pigeonnier 2023,2023.0,4.0,1133,1133,4.0,pays-dherault,23.5,shiraz-syrah,43.56667000000002,3.416670000000003
Xavier Benier,Brouilly 2023,2023.0,3.6,36,36,3.6,brouilly,23.5,gamay,46.100847139155114,4.651533792454113
Château Maris,Les Planels 2020,2020.0,4.2,118,2636,4.0,minervois-la-liviniere,23.5,shiraz-syrah,43.20765000000004,2.70654
Domaine du Clos des Fées,De Battre Mon Coeur S'est Arrêté 2021,2021.0,3.8,43,1068,3.8,cotes-du-roussillon-villages,23.5,shiraz-syrah,42.68672903204232,2.684292528036307
Château La Tour de Bessan,Margaux 2015,2015.0,4.0,961,6768,3.9,margaux,23.52,cabernet-sauvignon,45.031126361371925,-0.6690579596607694
Château Pédesclaux,Fleur de Pédesclaux Pauillac 2020,2020.0,4.0,218,7592,4.0,pauillac,23.54,cabernet-sauvignon,45.191720268700344,-0.7539020556638387
Château de Fonbel,Saint-Émilion Grand Cru 2011,2011.0,3.9,655,9217,3.9,st-emilion-grand-cru,23.54,cabernet-sauvignon,44.924,0.1555
Vincent Paris,Sélection Crozes-Hermitage 2020,2020.0,3.9,89,932,3.8,crozes-hermitage,23.56,shiraz-syrah,45.089649999999914,4.830120000000006
Domaine du Bel Air,Jour de Soif 2021,2021.0,3.8,302,3105,3.7,bourgueil,23.56,cabernet-franc,47.283263846544855,0.1510472629529837
Château Soussans,Margaux 2018,2018.0,4.1,94,1800,3.9,margaux,23.6,cabernet-sauvignon,45.031126361371925,-0.6690579596607694
Vieux Bourg,Au Bois Retour Chénas 2020,2020.0,4.1,65,87,4.1,chenas,23.6,gamay,46.25545999999998,4.700249999999998
Cosse Maisonneuve,La Fage Cahors 2018,2018.0,3.9,361,2325,3.8,cahors,23.6,malbec,44.44889000000001,1.4399999999999986
Henry Pellé,Les Cris Menetou-Salon Morogues 2021,2021.0,4.0,34,747,3.9,menetou-salon,23.6,cabernet-franc,47.34781999999999,2.36654
Domaine du Mas des Armes,Perspectives 2022,2022.0,4.1,907,907,4.1,languedoc-roussillon,23.6,shiraz-syrah,43.599999999999945,3.3833300000000004
Lauriga,Cuvée Jean Grande Réserve 2020,2020.0,4.0,27,285,4.1,cotes-du-roussillon,23.6,shiraz-syrah,42.688610000000054,2.894720000000005
Domaine des Ronces,Trousseau Côtes du Jura 2023,2023.0,3.7,188,188,3.7,ctes-du-jura,23.65,pinot-noir,46.67987000000002,5.727649999999998
Château de Saint Cosme,Saint Cosme Côtes du Rhône 2021,2021.0,3.9,2782,29054,3.8,cotes-du-rhone,23.65,shiraz-syrah,44.26497540596176,4.645266570551067
Château Haut Nouchet,Pessac-Léognan 2010,2010.0,3.8,405,1415,3.9,pessac-leognan,23.65,cabernet-sauvignon,44.80321000000003,-0.5943200000000016
Château Mayne Lalande,Listrac-Médoc 2018,2018.0,3.7,25,1861,3.8,listrac,23.7,cabernet-sauvignon,45.08332999999999,-0.83333
Louis Chèze,Ro-Rée Saint-Joseph 2023,2023.0,3.9,161,5224,4.0,saint-joseph,23.7,shiraz-syrah,45.09011999999991,4.8076500000000015
Château Labégorce,Zédé de Labégorce (Domaine Zédé) 2022,2022.0,4.1,3445,3445,4.1,margaux,23.71,cabernet-sauvignon,45.031126361371925,-0.6690579596607694
Domaine des Demoiselles,Marieta Rouge 2018,2018.0,3.5,76,76,3.5,cotes-du-roussillon,23.72,shiraz-syrah,42.688610000000054,2.894720000000005
Domaine des Demoiselles,Marieta Rouge 2021,2021.0,3.5,76,76,3.5,cotes-du-roussillon,23.72,shiraz-syrah,42.688610000000054,2.894720000000005
Château Lynch-Moussas,Les Hauts de Lynch-Moussas Haut-Médoc 2020,2020.0,3.9,75,4481,3.9,haut-medoc,23.73,cabernet-sauvignon,45.19999999999997,-0.7666700000000025
Château Patache d'Aux,Médoc 2011,2011.0,3.7,1143,10474,3.8,medoc,23.76,cabernet-sauvignon,45.26666999999998,-0.7833299999999995
Olivier Wartel,Bourgogne Épineuil Rouge 2022,2022.0,3.7,26,369,3.5,bourgogne,23.8,pinot-noir,47.05070075730127,4.393923434528505
Michel Briday,Les 4 Vignes Rully 2020,2020.0,3.9,25,422,3.7,rully,23.8,pinot-noir,46.842,4.743399999999998
Château Barde-Haut,Saint-Émilion Grand Cru (Grand Cru Classé) 2019,2019.0,4.1,108,7890,4.0,st-emilion-grand-cru,23.8,cabernet-sauvignon,44.924,0.1555
Château Robin,Castillon Côtes de Bordeaux 2021,2021.0,3.7,1165,1165,3.7,cotes-de-castillon,23.8,cabernet-sauvignon,44.849999999999945,-0.0333299999999999
Domaine La Terrasse d'Elise,Enclos 2022,2022.0,4.0,1308,1308,4.0,pays-dherault,23.8,shiraz-syrah,43.56667000000002,3.416670000000003
Cosse Maisonneuve,Cheval en Tête Malbec 2021,2021.0,3.8,99,288,3.8,cahors,23.8,malbec,44.44889000000001,1.4399999999999986
Combier,Crozes-Hermitage Rouge 2022,2022.0,4.1,207,5259,3.9,crozes-hermitage,23.85,shiraz-syrah,45.089649999999914,4.830120000000006
Domaine de Majas,Rouge 2022,2022.0,3.7,204,2877,3.7,cotes-catalanes,23.85,shiraz-syrah,42.625,2.5
Domaine de la Navicelle,Zephir Côtes de Provence Rouge 2021,2021.0,4.0,45,45,4.0,cotes-de-provence,23.85,shiraz-syrah,43.01700000000003,1.7319999999999995
Domaine des Roches Neuves,Terres Chaudes Saumur-Champigny 2019,2019.0,3.8,265,3033,3.8,saumur-champigny,23.88,cabernet-franc,47.24640293718296,-0.0762064647198947
Domaine des Closiers,Les Closiers 2022,2022.0,4.0,49,283,4.1,saumur-champigny,23.9,cabernet-franc,47.24640293718296,-0.0762064647198947
Domaine des Roches Neuves,Terres Chaudes Saumur-Champigny 2021,2021.0,4.0,116,3033,3.8,saumur-champigny,23.9,cabernet-franc,47.24640293718296,-0.0762064647198947
Château Olivier,Le Dauphin d'Olivier Pessac-Léognan 2020,2020.0,4.1,142,3040,3.9,pessac-leognan,23.9,cabernet-sauvignon,44.80321000000003,-0.5943200000000016
Famille Moutard,Bourgogne Rouge (Pinot Noir) 2023,2023.0,3.5,1149,1149,3.5,bourgogne,23.9,pinot-noir,47.05070075730127,4.393923434528505
Domaine de la Bonne Tonne,Morgon 'Les Charmes' 2022,2022.0,4.0,513,513,4.0,morgon,23.9,gamay,46.1676,4.6705
Héritage du Pic Saint Loup,Cuvée Sainte Agnès 2022,2022.0,3.8,1360,1360,3.8,pic-saint-loup,23.9,shiraz-syrah,43.8000000000001,3.850000000000008
Manuel Olivier,Bourgogne Hautes-Côtes de Nuits Pinot Noir 2022,2022.0,3.9,97,1797,3.9,bourgogne-hautes-cotes-de-nuits,23.9,pinot-noir,47.086266984043725,4.891556873508777
La Croix Gratiot,Le Chant des Dolia 2021,2021.0,3.8,95,95,3.8,pays-dherault,23.9,shiraz-syrah,43.56667000000002,3.416670000000003
Château Pédesclaux,Fleur de Pédesclaux Pauillac 2014,2014.0,3.9,1212,7592,4.0,pauillac,23.9,cabernet-sauvignon,45.191720268700344,-0.7539020556638387
Château la Négly,La Falaise Languedoc La Clape 2023,2023.0,4.0,5135,5135,4.0,languedoc-la-clape,23.9,shiraz-syrah,43.15000000000002,3.0999999999999983
Domaine de La Garance,Les Armières 2021,2021.0,3.9,515,515,3.9,languedoc,23.9,shiraz-syrah,43.60057601202888,3.88270435561468
Domaine du Clos des Fées,Images Derisoires 2021,2021.0,3.9,313,313,3.9,cotes-catalanes,23.9,shiraz-syrah,42.625,2.5
Domaine de Veilloux,Argilo Rouge 2019,2019.0,3.8,293,293,3.8,cheverny,23.9,cabernet-sauvignon,47.4994,1.4643
Domaine Chapelle et Fils,Ladoix 'Les Vris' Rouge 2019,2019.0,3.7,176,176,3.7,ladoix,23.9,pinot-noir,47.063200000000016,4.8747
Domaine Amirault,Le Fondis St Nicolas de Bourgueil 2021,2021.0,4.0,510,510,4.0,saint-nicolas-de-bourgueil,23.9,cabernet-franc,47.29929189869924,0.101559255741893
Domaine Demangeot,Santenay Rouge 2023,2023.0,3.8,105,105,3.8,santenay,23.9,pinot-noir,46.91470624472586,4.696211376851372
Domaine Demangeot,Maranges 2023,2023.0,3.9,242,242,3.9,maranges,23.9,pinot-noir,46.88942387048158,4.661764062879198
Clos des Centenaires,Grenache Vieilles Vignes 2019,2019.0,4.0,52,446,3.9,southern-rhone,23.9,shiraz-syrah,44.3,4.799999999999999
Merlin,La Rochelle Moulin à Vent 2013,2013.0,3.6,72,471,3.8,moulin-a-vent,23.9,gamay,46.1998,4.7223
Matthias et Emile Roblin,Grand Côte de la Vallée Sancerre 2016,2016.0,3.9,30,30,3.9,sancerre,23.9,cabernet-franc,47.31909999999999,2.8297599999999967
Château Jean Faure,La Réserve Saint-Emilion 2019,2019.0,3.9,122,290,3.9,saint-emilion,23.9,cabernet-sauvignon,44.90000000000005,-0.1500000000000002
La Croix Gratiot,Le Chant des Dolia 2020,2020.0,3.8,95,95,3.8,pays-dherault,23.9,shiraz-syrah,43.56667000000002,3.416670000000003
Domaine de Courbissac,Les Farradjales Minervois 2022,2022.0,3.8,269,270,3.8,minervois,23.9,shiraz-syrah,43.29984594640925,2.600652385480642
Abbotts & Delaunay,Domaine de la Métairie d'Alon Le Village Pinot Noir 2022,2022.0,4.0,35,1065,3.9,languedoc-roussillon,23.9,shiraz-syrah,43.599999999999945,3.3833300000000004
Les Clos Perdus,Prioundo Corbières 2020,2020.0,3.9,470,470,3.9,corbieres,23.9,shiraz-syrah,43.08158032658233,2.6854789880195296
Domaine Clavel,Copa Santa La Méjanelle 2019,2019.0,4.0,50,1425,3.9,languedoc,23.9,shiraz-syrah,43.60057601202888,3.88270435561468
Thunevin-Calvet,Les Dentelles Côtes du Roussillon Villages 2013,2013.0,3.7,27,1029,4.0,cotes-du-roussillon-villages,23.91,shiraz-syrah,42.68672903204232,2.684292528036307
Thunevin-Calvet,Les Dentelles Côtes du Roussillon Villages 2014,2014.0,4.0,1029,1029,4.0,cotes-du-roussillon-villages,23.91,shiraz-syrah,42.68672903204232,2.684292528036307
La Mauriane,Puisseguin Saint-Émilion 2019,2019.0,4.3,111,1736,4.1,puisseguin-saint-emilion,23.91,cabernet-sauvignon,44.55280000000001,0.0419
Château La Gaffelière,Dame Gaffelière Saint-Émilion Grand Cru 2019,2019.0,4.2,581,1707,4.1,st-emilion-grand-cru,23.95,cabernet-sauvignon,44.924,0.1555
Château Fonplégade,Fleur de Fonplégade Saint-Emilion 2019,2019.0,4.1,123,2284,4.1,st-emilion-grand-cru,23.98,cabernet-sauvignon,44.924,0.1555
Château La Pointe,Ballade de La Pointe Pomerol 2022,2022.0,4.0,1080,1080,4.0,pomerol,24.0,cabernet-sauvignon,44.9333645153018,-0.2052116998028527
Mas de Libian,La Calade 2020,2020.0,3.9,38,343,3.9,cotes-du-rhone,24.0,shiraz-syrah,44.26497540596176,4.645266570551067
Paul Henri Thillardon,Chénas 'Les Carrières' 2023,2023.0,3.9,680,681,3.9,chenas,24.0,gamay,46.25545999999998,4.700249999999998
Hugo et Pauline Villa,Crozes-Hermitage Syrah 2023,2023.0,4.2,31,76,4.0,crozes-hermitage,24.0,shiraz-syrah,45.089649999999914,4.830120000000006
Paul Kubler,Weingarten Pinot Noir 2022,2022.0,3.8,105,105,3.8,alsace,24.0,pinot-noir,48.232880000000016,7.249900000000013
Clos du Jaugueyron,Haut-Medoc 2017,2017.0,4.1,261,2660,4.0,medoc,24.0,cabernet-sauvignon,45.26666999999998,-0.7833299999999995
Château Tour Sieujean,Pauillac 2019,2019.0,4.0,3203,3203,4.0,pauillac,24.0,cabernet-sauvignon,45.191720268700344,-0.7539020556638387
Château Haut Blanville,Santal 2020,2020.0,4.2,40,40,4.2,gres-de-montpellier,24.0,shiraz-syrah,43.58823,3.890120000000001
Château de Coulaine,La Diablesse 2022,2022.0,3.9,407,407,3.9,chinon,24.0,cabernet-franc,47.16667,0.2333299999999997
Château Cantemerle,Haut-Médoc (Grand Cru Classé) 2021,2021.0,3.9,257,37514,4.0,haut-medoc,24.0,cabernet-sauvignon,45.19999999999997,-0.7666700000000025
Olivier Pithon,Cuvée Laïs Rouge 2019,2019.0,4.0,167,1612,3.8,cotes-du-roussillon,24.0,shiraz-syrah,42.688610000000054,2.894720000000005
Domaine des Roches Neuves,Terres Chaudes Saumur-Champigny 2020,2020.0,3.9,173,3033,3.8,saumur-champigny,24.0,cabernet-franc,47.24640293718296,-0.0762064647198947
Château Altimar,Puy Versannes Saint-Émilion 2022,2022.0,4.3,342,342,4.3,saint-emilion,24.0,cabernet-sauvignon,44.90000000000005,-0.1500000000000002
Château Joanin Bécot,Castillon - Côtes de Bordeaux 2018,2018.0,3.9,213,4928,3.9,cotes-de-castillon,24.0,cabernet-sauvignon,44.849999999999945,-0.0333299999999999
Château Fourcas Hosten,Listrac-Médoc 2022,2022.0,3.7,28,8132,3.8,listrac,24.0,cabernet-sauvignon,45.08332999999999,-0.83333
Paul Henri Thillardon,Vibrations Chénas 2023,2023.0,4.0,1406,1406,4.0,chenas,24.0,gamay,46.25545999999998,4.700249999999998
Mas Bruguiere,L'Arbouse Pic Saint-Loup 2020,2020.0,4.1,145,2241,3.9,pic-saint-loup,24.0,shiraz-syrah,43.8000000000001,3.850000000000008
Domaine Françoise André,Bourgogne Côte d’Or Pinot Noir 2022,2022.0,4.1,86,86,4.1,bourgogne-cote-d-or,24.0,pinot-noir,47.0,4.8
Domaine de la Rectorie,Côté Mer Collioure Rouge 2017,2017.0,3.9,323,2594,3.9,collioure,24.0,shiraz-syrah,42.53197068802954,3.084026391356177
Louis Jadot,Château des Jacques Moulin-à-Vent 2020,2020.0,4.0,244,4332,3.8,moulin-a-vent,24.0,gamay,46.1998,4.7223
Antoine Sanzay,La Paterne Saumur-Champigny 2021,2021.0,3.9,108,751,3.9,saumur-champigny,24.0,cabernet-franc,47.24640293718296,-0.0762064647198947
Thunevin-Calvet,Les Dentelles Côtes du Roussillon Villages 2018,2018.0,4.1,78,1029,4.0,cotes-du-roussillon-villages,24.0,shiraz-syrah,42.68672903204232,2.684292528036307
Clos Marie,L'Olivette Pic Saint Loup 2023,2023.0,3.8,2323,2323,3.8,pic-saint-loup,24.0,shiraz-syrah,43.8000000000001,3.850000000000008
Château Mas Neuf,Rive Droite Côtes du Rhône 2019,2019.0,3.5,381,381,3.5,cotes-du-rhone,24.0,shiraz-syrah,44.26497540596176,4.645266570551067
Château Magondeau,Passion de Magondeau 2018,2018.0,4.0,253,253,4.0,fronsac,24.0,cabernet-sauvignon,44.94528874639298,-0.2826621476031562
