Winery,Wine,year,vintage_rating,vintage_rating_count,wine_rating_count,wine_rating,region,price,cepages,latitude,longitude,dept,station,altitude,GDD,TM_summer,TX_summer,temp_amp_summer,hot_days,rainy_days_summer,rain_June,rain_SepOct,frost_days_Apr,avg_TM_Apr,dist_km
Domaine des Homs,Clots de Pals 2022,2022.0,3.9,532,532,3.9,minervois,11.2,shiraz-syrah,43.3,2.6,34,34302001,137,2546.75,26.73709677419355,34.145161290322584,14.446774193548388,28.0,0.0,35.7,76.3,0.0,13.19333333333333,6.7578043402459445
Château de Ricaud,Cadillac - Côtes de Bordeaux (Premières Côtes de Bordeaux) 2016,2016.0,3.9,742,4535,3.7,cadillac-cotes-de-bordeaux,11.22,cabernet-sauvignon,44.63333,-0.26667,33,33504001,65,1694.25,21.978846153846153,28.549999999999997,13.25,6.0,0.0,73.0,106.5,0.0,11.546666666666663,10.98312762689974
Domaine de la Perrière,Le Chant des Lauzes 2020,2020.0,3.6,92,92,3.6,languedoc,11.23,shiraz-syrah,43.6,3.88333,34,34154001,1,2178.9500000000003,25.10322580645161,30.529032258064515,10.937096774193549,3.0,1.0,18.3,35.900000000000006,0.0,14.090000000000002,7.066634340757541
Château Haut Bellegarde,Bordeaux 2023,2023.0,3.2,339,339,3.2,bordeaux,11.23,cabernet-sauvignon,44.83779,-0.57918,33,33063001,10,2297.3500000000004,22.682258064516137,28.95806451612903,11.158064516129032,8.0,1.0,81.10000000000001,243.1,0.0,14.06333333333333,1.5177606121134102
Domaines Ott,By.Ott Rouge 2014,2014.0,3.7,190,190,3.7,cotes-de-provence,11.25,shiraz-syrah,43.017,1.732,11,11333001,601,1453.7999999999997,18.112903225806452,22.664516129032258,7.940322580645162,0.0,5.0,64.70000000000002,61.5,0.0,11.926666666666668,25.531286751129564
Les Vignerons du Sommiérois,Laura Coteaux du Languedoc 2023,2023.0,4.0,303,303,4.0,languedoc,11.3,shiraz-syrah,43.6,3.88333,34,34154001,1,2393.9,25.190322580645162,30.320967741935487,10.201612903225806,2.0,0.0,31.100000000000005,54.3,0.0,14.49,7.066634340757541
Château Clinet,Ronan by Clinet Bordeaux 2018,2018.0,3.6,750,10893,3.5,bordeaux,11.3,cabernet-sauvignon,44.83779,-0.57918,33,33550001,25,2027.15,23.29032258064516,29.58548387096774,12.038709677419357,6.0,3.0,55.0,85.5,0.0,14.22,5.317701561530501
Pegau,Cuvée Maclura Côtes du Rhône 2019,2019.0,3.8,709,4439,3.7,cotes-du-rhone,11.32,shiraz-syrah,44.25,4.63333,84,84064001,46,2173.0000000000005,25.150000000000002,33.82096774193548,16.337096774193547,26.0,1.0,25.4,205.79999999999998,0.0,12.543333333333333,8.084706772366594
Baron Briare,Saumur-Champigny 'Beauregard' 2022,2022.0,3.7,283,283,3.7,saumur-champigny,11.35,cabernet-franc,47.25,-0.08333,49,49328001,69,2038.4499999999996,23.58064516129032,30.887096774193548,14.11774193548387,11.0,2.0,68.3,112.2,2.0,12.583333333333332,0.7205559264094398
Domaine des Varinelles,Vignoble Daheuiller Saumur Champigny 2022,2022.0,3.4,32,32,3.4,saumur-champigny,11.4,cabernet-franc,47.25,-0.08333,49,49328001,69,2038.4499999999996,23.58064516129032,30.887096774193548,14.11774193548387,11.0,2.0,68.3,112.2,2.0,12.583333333333332,0.7205559264094398
Domaine Fontanel,Tradition Côtes du Roussillon Villages 2015,2015.0,3.6,57,57,3.6,cotes-du-roussillon-villages,11.4,shiraz-syrah,42.68333,2.68333,66,66029003,347,2049.75,23.55,29.188709677419347,10.461290322580643,1.0,3.0,92.3,95.5,0.0,14.126666666666667,10.678211921350604
Domaine Laougué,Camy Madiran 2021,2021.0,3.6,423,423,3.6,madiran,11.4,cabernet-sauvignon,43.58333,-0.03333,32,32245001,164,1678.6999999999998,20.275806451612905,26.006451612903227,10.53225806451613,0.0,5.0,53.50000000000001,152.79999999999995,1.0,11.836666666666666,5.62547115424555
Château Haut Piquat,Lussac-Saint-Émilion 2019,2019.0,3.5,31,3218,3.7,lussac-st-emilion,11.4,cabernet-sauvignon,44.88333,-0.15,33,33394002,38,1799.4499999999998,22.430645161290325,29.458064516129035,13.558064516129031,5.0,2.0,81.0,136.7,0.0,12.483333333333336,4.8513840042000425
Domaine Deshenrys,Elle & Lui 2024,2024.0,3.6,36,36,3.6,cotes-de-thongue,11.4,shiraz-syrah,43.5,3.31667,34,34237001,73,1965.75,24.409677419354836,31.36935483870968,13.948387096774193,8.0,1.0,13.0,114.0,0.0,13.186666666666666,1.0000204168171039
