Winery,Wine,year,vintage_rating,vintage_rating_count,wine_rating_count,wine_rating,region,price,cepages,latitude,longitude,dist_km,dept,station,altitude,GDD,TM_summer,TX_summer,temp_amp_summer,hot_days,rainy_days_summer,rain_June,rain_SepOct,frost_days_Apr,avg_TM_Apr,year_median,W_price_year,WR,WR01,WQI,threshold,is_good_wine,label
Château La Prade,Francs - Côtes de Bordeaux 2015,2015,3.8,175,1605,3.8,cotes-de-francs,15.5,cabernet-sauvignon,42.955249999999985,1.7946999999999993,20.66875668391623,11,11028001,980,928.3499999999999,18.13064516129032,23.980645161290322,11.75483870967742,0.0,5.0,91.0,88.0,5.0,9.183333333333334,55.3,0.7810734463276836,3.9081245342771975,0.7816249068554395,0.6105064597331328,0.5613497590425557,1,1
Château de Gironville,Haut-Médoc 2015,2015,3.8,77,1435,3.8,haut-medoc,15.5,cabernet-sauvignon,45.19999999999997,-0.7666700000000025,2.0355402738402852,33,33314005,26,1651.75,21.053225806451614,26.90806451612903,10.653225806451614,1.0,4.0,35.5,163.2,0.0,13.836666666666668,55.3,0.7810734463276836,3.949841874273912,0.7899683748547824,0.6170233210377044,0.5130695611049225,1,1
Château Terre Forte,Origine 2015,2015,4.3,28,261,3.7,cotes-du-rhone,15.5,shiraz-syrah,44.26497540596176,4.645266570551067,17.98990768781055,07,07168001,230,2026.1,24.440322580645162,31.643548387096775,13.629032258064516,12.0,3.0,96.5,334.7,0.0,13.763333333333334,55.3,0.7810734463276836,4.053950419832067,0.8107900839664135,0.6332866051319586,0.496594341718498,1,1
Château d'Issan,Château de Candale Haut-Médoc 2015,2015,4.0,327,327,4.0,haut-medoc,15.6,cabernet-sauvignon,45.19999999999997,-0.7666700000000025,2.0355402738402852,33,33314005,26,1651.75,21.053225806451614,26.90806451612903,10.653225806451614,1.0,4.0,35.5,163.2,0.0,13.836666666666668,55.3,0.7799717912552891,4.005277452511059,0.8010554905022118,0.6248006858218944,0.5130695611049225,1,1
Clos Maïa,Le Petit 2015,2015,3.6,70,619,3.5,pays-dherault,16.0,shiraz-syrah,43.56667000000002,3.416670000000003,11.3414695144082,34,34237001,73,1903.6999999999998,23.467741935483872,29.583870967741934,12.298387096774194,1.0,4.0,37.0,49.5,0.0,13.116666666666667,55.3,0.7755960729312763,3.89740824318046,0.779481648636092,0.6045629056041499,0.5738772914825364,1,1
Château Calon,Montagne-Saint-Émilion 2015,2015,3.9,153,1929,3.8,montagne-saint-emilion,16.5,cabernet-sauvignon,44.94963926938957,-0.1005511961981375,7.747603543307138,33,33394002,38,1733.8,21.925806451612903,28.950000000000003,13.343548387096773,5.0,4.0,38.599999999999994,79.70000000000002,0.0,13.896666666666668,55.3,0.7701949860724234,3.961696472925981,0.7923392945851961,0.6102557519576789,0.5040143909780761,1,1
Château Croix Mouton,Bordeaux Supérieur 2015,2015,3.7,1686,10754,3.6,bordeaux-superieur,16.8,cabernet-sauvignon,44.837559984680006,-0.4981958329616381,8.141433008192857,33,33550001,25,1860.2,22.380645161290325,28.89032258064516,11.95483870967742,4.0,6.0,34.0,71.5,0.0,14.29,55.3,0.7669902912621359,3.7299301320802867,0.7459860264160574,0.5721640396783353,0.5099874062209927,1,1
Catherine Lucas,La Peyrere du Tertre 2015,2015,3.6,30,30,3.6,bordeaux-superieur,16.8,cabernet-sauvignon,44.837559984680006,-0.4981958329616381,8.141433008192857,33,33550001,25,1860.2,22.380645161290325,28.89032258064516,11.95483870967742,4.0,6.0,34.0,71.5,0.0,14.29,55.3,0.7669902912621359,3.95487843509939,0.7909756870198781,0.6066706725686444,0.5099874062209927,1,1
Château Les Grands Chênes,Médoc 2015,2015,3.8,1274,7751,3.8,medoc,16.9,cabernet-sauvignon,45.26666999999998,-0.7833299999999995,5.819738971412956,33,33314005,26,1651.75,21.053225806451614,26.90806451612903,10.653225806451614,1.0,4.0,35.5,163.2,0.0,13.836666666666668,55.3,0.7659279778393353,3.826230073098259,0.7652460146196518,0.5861233325272404,0.5130695611049225,1,1
René Noël Legrand - Clotilde Legrand,La Chaintrée Saumur Champigny 2015,2015,3.9,25,349,3.9,saumur-champigny,16.95,cabernet-franc,47.24640293718296,-0.0762064647198947,13.85196167535198,49,49215002,58,1444.0,20.64677419354839,27.02258064516129,12.24516129032258,1.0,2.0,36.5,127.5,0.0,13.193333333333333,55.3,0.7653979238754325,4.000791267651355,0.8001582535302709,0.6124394660238613,0.43017784187747643,1,1
Domaine Clavel,Les Garrigues Coteaux du Languedoc 2015,2015,3.5,222,1269,3.6,languedoc,17.0,shiraz-syrah,43.60057601202888,3.88270435561468,7.137451575692915,34,34154001,1,2178.8,24.853225806451608,30.049999999999997,10.233870967741936,6.0,3.0,86.69999999999999,94.9,0.0,14.27,55.3,0.7648686030428768,3.728470767081638,0.7456941534163276,0.5703580454207872,0.5504848490291702,1,1
Château des Fougères,Graves Rouge 2015,2015,4.1,89,590,4.0,graves,17.4,cabernet-sauvignon,44.59999999999995,-0.3999999999999995,8.479655258170444,33,33504001,65,1755.15,21.958064516129035,28.76774193548387,12.656451612903224,4.0,4.0,80.5,95.0,0.0,13.736666666666668,55.3,0.7606602475928474,4.043458030321705,0.8086916060643411,0.6151395572951591,0.5803846233339152,1,1
Château de Chantegrive,Graves 2015,2015,3.9,379,6127,3.7,graves,17.5,cabernet-sauvignon,44.59999999999995,-0.3999999999999995,8.479655258170444,33,33504001,65,1755.15,21.958064516129035,28.76774193548387,12.656451612903224,4.0,4.0,80.5,95.0,0.0,13.736666666666668,55.3,0.7596153846153846,3.9366184101898805,0.7873236820379761,0.5980631815480779,0.5803846233339152,1,1
Château Haut Blanville,Plénitude 2015,2015,4.1,145,145,4.1,gres-de-montpellier,17.9,grenache-noir,43.58823,3.890120000000001,6.152610506633273,34,34154001,1,2178.8,24.853225806451608,30.049999999999997,10.233870967741936,6.0,3.0,86.69999999999999,94.9,0.0,14.27,55.3,0.7554644808743171,4.053291416352714,0.8106582832705428,0.6124235391374456,0.57483094063099,1,1
Clos Sorian,Grés de Montpellier 2015,2015,4.1,148,148,4.1,languedoc,17.9,shiraz-syrah,43.60057601202888,3.88270435561468,7.137451575692915,34,34154001,1,2178.8,24.853225806451608,30.049999999999997,10.233870967741936,6.0,3.0,86.69999999999999,94.9,0.0,14.27,55.3,0.7554644808743171,4.053722572509457,0.8107445145018914,0.6124886837698716,0.5504848490291702,1,1
Domaine Modat,Comme Avant Côtes du Roussillon Villages 2015,2015,3.9,209,1298,4.0,cotes-du-roussillon-villages,17.9,shiraz-syrah,42.68672903204232,2.684292528036307,11.058353137080813,66,66029003,347,2049.75,23.55,29.188709677419347,10.461290322580643,1.0,3.0,92.3,95.5,0.0,14.126666666666667,55.3,0.7554644808743171,3.9527456892890513,0.7905491378578102,0.5972317940373895,0.5664654759533745,1,1
Château Gros Caillou,Chateau Moulin de Cantelaube Saint-Émilion Grand Cru 2015,2015,3.6,379,379,3.6,st-emilion-grand-cru,18.3,cabernet-sauvignon,44.924,0.1555,27.054704789804426,33,33394002,38,1733.8,21.925806451612903,28.950000000000003,13.343548387096773,5.0,4.0,38.599999999999994,79.70000000000002,0.0,13.896666666666668,55.3,0.751358695652174,3.7321220073121832,0.7464244014624366,0.560832464685771,0.5040143909780761,1,1
Domaine de Baron'arques,La Capitelle Limoux 2015,2015,3.8,71,1048,3.8,limoux,18.5,shiraz-syrah,42.51848,3.225940000000001,7.566954497475037,66,66148001,72,2178.55,23.9741935483871,27.14838709677419,5.991935483870967,0.0,3.0,137.0,85.3,0.0,14.703333333333331,55.3,0.7493224932249323,3.9534670809095718,0.7906934161819144,0.5924843619899711,0.5034741590798646,1,1
Château Les Giraudels de Milon,Saint-Émilion Grand Cru 2015,2015,3.9,94,933,4.0,st-emilion-grand-cru,18.74,cabernet-sauvignon,44.924,0.1555,27.054704789804426,33,33394002,38,1733.8,21.925806451612903,28.950000000000003,13.343548387096773,5.0,4.0,38.599999999999994,79.70000000000002,0.0,13.896666666666668,55.3,0.7468935710426797,3.975128546367431,0.7950257092734863,0.5937995910700135,0.5040143909780761,1,1
Château de Camensac,La Closerie de Camensac Haut-Médoc 2015,2015,3.7,252,4655,3.6,haut-medoc,19.0,cabernet-sauvignon,45.19999999999997,-0.7666700000000025,2.0355402738402852,33,33314005,26,1651.75,21.053225806451614,26.90806451612903,10.653225806451614,1.0,4.0,35.5,163.2,0.0,13.836666666666668,55.3,0.7442799461641992,3.8299763078451603,0.7659952615690321,0.5701149120426309,0.5130695611049225,1,1
Domaine Olga Raffault,La Singuliere Chinon 2015,2015,4.0,31,397,4.0,chinon,19.8,cabernet-franc,47.16667,0.2333299999999997,1.9644039408126899,37,37072002,76,1501.6,20.827419354838707,28.196774193548382,13.51451612903226,3.0,5.0,61.400000000000006,131.20000000000002,0.0,13.150000000000002,55.3,0.7363515312916112,4.0127876733921815,0.8025575346784363,0.590964469610087,0.5170805783523673,1,1
Hecht & Bannier,Faugères 2015,2015,3.8,323,323,3.8,faugeres,19.89,shiraz-syrah,43.56514235032611,3.0889050827624205,9.492743230755455,34,34028003,373,1728.8000000000002,22.653225806451616,28.61129032258065,11.646774193548385,2.0,4.0,48.099999999999994,160.7,0.0,12.363333333333333,55.3,0.7354701423061577,3.8761196721311473,0.7752239344262295,0.5701540573715985,0.5281061688851648,1,1
Château Belgrave,Diane de Belgrave Haut-Médoc 2015,2015,3.9,703,5848,3.8,haut-medoc,19.9,cabernet-sauvignon,45.19999999999997,-0.7666700000000025,2.0355402738402852,33,33314005,26,1651.75,21.053225806451614,26.90806451612903,10.653225806451614,1.0,4.0,35.5,163.2,0.0,13.836666666666668,55.3,0.735372340425532,3.9231361773472426,0.7846272354694486,0.5769931665087834,0.5130695611049225,1,1
Château Haut Blanville,Muse 2015,2015,3.9,51,51,3.9,languedoc,20.0,shiraz-syrah,43.60057601202888,3.88270435561468,7.137451575692915,34,34154001,1,2178.8,24.853225806451608,30.049999999999997,10.233870967741936,6.0,3.0,86.69999999999999,94.9,0.0,14.27,55.3,0.7343957503320053,3.989297526603394,0.7978595053206787,0.5859446300695025,0.5504848490291702,1,1
Pech-Ménel,Saint-Chinian 2015,2015,3.7,62,62,3.7,saint-chinian,20.0,shiraz-syrah,43.43333,2.949999999999999,9.14978877790984,34,34269001,258,2045.9499999999998,23.753225806451614,30.401612903225804,12.469354838709679,5.0,3.0,33.7,66.60000000000001,0.0,13.666666666666668,55.3,0.7343957503320053,3.933304753412443,0.7866609506824885,0.5777204591333548,0.5617653728536881,1,1
Domaine Breton - Catherine & Pierre Breton,Nuits d'Ivresse 2015,2015,3.8,369,2532,3.8,bourgueil,20.88,cabernet-franc,47.283263846544855,0.1510472629529837,3.344475879275253,37,37228001,44,1380.75,20.338709677419363,27.014516129032256,13.058064516129031,1.0,5.0,44.800000000000004,127.40000000000002,0.0,12.963333333333335,55.3,0.7259123129430297,3.869706659460758,0.7739413318921515,0.5618135423160407,0.5013418406333535,1,1
Château Castigno,Terra Casta 2015,2015,3.7,366,366,3.7,saint-chinian,20.96,shiraz-syrah,43.43333,2.949999999999999,9.14978877790984,34,34269001,258,2045.9499999999998,23.753225806451614,30.401612903225804,12.469354838709679,5.0,3.0,33.7,66.60000000000001,0.0,13.666666666666668,55.3,0.7251507998950958,3.8026884642091603,0.760537692841832,0.5515045163146252,0.5617653728536881,0,0
Château La Cabanne,Domaine de Compostelle Pomerol 2015,2015,3.9,92,977,3.8,pomerol,21.0,cabernet-sauvignon,44.9333645153018,-0.2052116998028527,2.209727180125513,33,33394002,38,1733.8,21.925806451612903,28.950000000000003,13.343548387096773,5.0,4.0,38.599999999999994,79.70000000000002,0.0,13.896666666666668,55.3,0.7247706422018348,3.9756871229203483,0.7951374245840697,0.5762922618545092,0.5040143909780761,1,1
Abbotts & Delaunay,Alto Stratus 2015,2015,4.0,46,178,3.9,minervois,21.2,shiraz-syrah,43.29984594640925,2.600652385480642,10.412010678799735,11,11081003,371,1821.3,22.569354838709685,28.269354838709674,10.319354838709678,2.0,3.0,60.6,98.70000000000002,0.0,13.03,55.3,0.722875816993464,4.01192751598912,0.802385503197824,0.5800250761678387,0.5395728626359924,1,1
Bad Boy (Mauvais Garçon),Rouge 2015,2015,3.8,1959,8610,3.8,bordeaux,21.41,cabernet-sauvignon,44.8394884711832,-0.5397329917271372,6.226498595072154,33,33550001,25,1860.2,22.380645161290325,28.89032258064516,11.95483870967742,4.0,6.0,34.0,71.5,0.0,14.29,55.3,0.7208968843697041,3.8178182753115983,0.7635636550623197,0.5504506599523697,0.5099874062209927,1,1
Château de Fonbel,Saint-Émilion Grand Cru 2015,2015,4.0,1014,9217,3.9,st-emilion-grand-cru,21.95,cabernet-sauvignon,44.924,0.1555,27.054704789804426,33,33394002,38,1733.8,21.925806451612903,28.950000000000003,13.343548387096773,5.0,4.0,38.599999999999994,79.70000000000002,0.0,13.896666666666668,55.3,0.7158576051779935,4.002233279652035,0.8004466559304071,0.5730058261870745,0.5040143909780761,1,1
Château La Lagune,Moulin du Château La Lagune 2015,2015,4.1,1535,5628,4.0,haut-medoc,22.25,cabernet-sauvignon,45.19999999999997,-0.7666700000000025,2.0355402738402852,33,33314005,26,1651.75,21.053225806451614,26.90806451612903,10.653225806451614,1.0,4.0,35.5,163.2,0.0,13.836666666666668,55.3,0.7130883301096067,4.091214857514938,0.8182429715029876,0.5834795141729879,0.5130695611049225,1,1
Château Jean Voisin,L’Esprit de Jean Voisin Saint-Émilion Grand Cru 2015,2015,4.0,104,104,4.0,st-emilion-grand-cru,22.47,cabernet-sauvignon,44.924,0.1555,27.054704789804426,33,33394002,38,1733.8,21.925806451612903,28.950000000000003,13.343548387096773,5.0,4.0,38.599999999999994,79.70000000000002,0.0,13.896666666666668,55.3,0.7110711071107111,4.009465608774284,0.8018931217548568,0.5702030298706903,0.5040143909780761,1,1
Clos Marsalette,Pessac-Leognan 2015,2015,4.0,430,3784,4.0,pessac-leognan,22.5,cabernet-sauvignon,44.80321000000003,-0.5943200000000016,2.0243113367757557,33,33550001,25,1860.2,22.380645161290325,28.89032258064516,11.95483870967742,4.0,6.0,34.0,71.5,0.0,14.29,55.3,0.7107969151670951,4.004381937505064,0.8008763875010129,0.5692604656658871,0.5099874062209927,1,1
