phh2o,ocd,clay,sand,silt,bdod,AOC
7.466666666666666,45.96666666666666,27.8,33.96666666666667,38.26666666666666,1.3333333333333333,Côtes du Rhône Villages
7.3999999999999995,43.9,26.03333333333333,36.03333333333333,37.96666666666667,1.29,Côtes du Roussillon Villages
,,,,,,Fiefs Vendéens
7.5,46.6,28.1,32.3,39.6,1.35,Côtes du Roussillon
6.966666666666666,45.6,23.633333333333336,31.400000000000002,44.96666666666667,1.3566666666666667,Côtes du Marmandais
6.325,49.275,25.1,37.425,37.475,1.1475,Entraygues - Le Fel
6.599999999999999,50.63333333333333,23.833333333333332,34.233333333333334,41.93333333333333,1.3066666666666666,Entre-deux-Mers
6.3,46.833333333333336,25.566666666666666,31.7,42.73333333333333,1.15,Estaing
6.566666666666666,51.4,29.5,20.3,50.199999999999996,1.29,Echezeaux
7.55,43.5,26.55,28.85,44.55,1.2650000000000001,Faugères
7.4,45.2,29.200000000000003,30.7,40.1,1.3050000000000002,Fitou
6.733333333333333,52.4,31.2,18.599999999999998,50.199999999999996,1.3,Fixin
,,,,,,Fleurie
,,,,,,Fronsac
7.1,42.0,27.1,31.5,41.4,1.37,Gaillac premières côtes
6.7,47.6,24.5,30.3,45.2,1.36,Fronton
7.2,43.4,29.2,29.9,41.0,1.34,Gaillac
6.35,49.65,23.85,26.35,49.8,1.33,Givry
6.75,53.45,32.5,18.0,49.45,1.2650000000000001,Gevrey-Chambertin
7.4,48.0,30.4,30.8,38.849999999999994,1.29,Gigondas
,,,,,,Gros Plant du Pays Nantais
7.15,45.349999999999994,29.3,32.849999999999994,37.900000000000006,1.3,Grignan-les-Adhémar
7.275,45.150000000000006,29.299999999999997,32.35,38.375,1.2775,Grand Roussillon
6.7,51.5,30.275,18.325,51.400000000000006,1.2975,Grands-Echezeaux
7.5,47.1,24.4,34.5,41.1,1.33,Grés de Montpellier
6.300000000000001,50.75,24.3,44.150000000000006,31.450000000000003,1.3450000000000002,Graves supérieures
6.733333333333333,50.96666666666667,22.0,40.26666666666666,37.699999999999996,1.3266666666666669,Graves de Vayres
6.266666666666666,50.6,23.599999999999998,44.76666666666667,31.666666666666668,1.32,Graves
7.0,49.8,36.1,15.3,48.5,1.3,Griotte-Chambertin
,,,,,,Haut-Poitou
6.8,55.3,26.3,44.8,28.8,1.28,Haut-Médoc
,,,,,,Haut-Montravel
,,,,,,Hermitage ou Ermitage ou l'Hermitage ou l'Ermitage
,,,,,,Irouléguy
,,,,,,Irancy
6.4,53.1,20.4,33.5,46.0,1.26,Jasnières
5.85,52.3,20.950000000000003,29.9,49.15,1.19,Jurançon
6.433333333333334,58.9,35.93333333333333,21.900000000000002,42.199999999999996,1.2,L'Etoile
6.6,51.0,30.7,21.0,48.3,1.34,La Romanée
6.433333333333334,54.1,22.833333333333332,41.333333333333336,35.800000000000004,1.26,Juliénas
7.3999999999999995,49.666666666666664,29.066666666666663,31.26666666666667,39.666666666666664,1.3133333333333335,La Clape
7.550000000000001,47.45,28.8,29.299999999999997,41.925,1.2625000000000002,La Livinière
6.599999999999999,52.4,31.2,18.6,50.1,1.32,La Grande Rue
7.2,50.5,22.8,39.9,37.3,1.28,Laudun
6.6,52.4,31.2,18.6,50.1,1.32,La Tâche
,,,,,,Languedoc
6.9,49.25,20.75,46.6,32.6,1.3650000000000002,Lalande-de-Pomerol
6.8,51.5,31.6,14.8,53.6,1.31,Ladoix
,,,,,,Latricières-Chambertin
,,,,,,Les Baux de Provence
,,,,,,Limoux
6.6,57.6,36.5,19.1,44.4,1.23,Macvin du Jura
7.5,44.7,24.45,41.6,33.95,1.3,Lirac
5.8,56.650000000000006,17.95,58.25,23.7,1.3,Listrac-Médoc
6.7,49.55,23.799999999999997,39.6,36.599999999999994,1.34,Lussac Saint-Emilion
7.6000000000000005,42.13333333333333,24.53333333333333,35.86666666666667,39.63333333333333,1.3033333333333335,Luberon
6.5,50.4,24.55,34.0,41.5,1.3050000000000002,Loupiac
7.3999999999999995,47.63333333333333,27.866666666666664,25.266666666666666,46.86666666666667,1.3333333333333333,Malepère
6.533333333333334,47.26666666666666,26.433333333333334,32.699999999999996,40.9,1.2433333333333334,Marcillac
5.75,52.7,18.75,27.799999999999997,53.45,1.22,Madiran
6.449999999999999,58.3,26.15,47.95,25.9,1.3250000000000002,Margaux
7.25,44.85,30.3,29.2,40.5,1.22,Maury
6.8,52.0,32.8,18.549999999999997,48.6,1.29,Marsannay
6.633333333333333,53.53333333333333,25.96666666666667,31.7,42.36666666666667,1.2233333333333334,Maranges
,,,,,,Mazis-Chambertin
,,,,,,Menetou-Salon
6.6,52.75,28.35,27.05,44.599999999999994,1.3,Meursault
6.75,47.15,30.85,29.35,39.849999999999994,1.3050000000000002,Monbazillac
6.8,50.25,23.95,42.55,33.4,1.355,Montagne-Saint-Emilion
6.8,55.0,35.0,16.6,48.4,1.3,Mazoyères-Chambertin
6.55,48.85,23.4,36.900000000000006,39.7,1.3,Mercurey
6.325,52.224999999999994,24.925,38.325,36.75,1.3225,Montagny
7.533333333333334,45.666666666666664,28.900000000000002,28.066666666666666,43.03333333333333,1.27,Minervois
,,,,,,Moselle
6.675,53.15,31.125,23.675,45.199999999999996,1.2950000000000002,Monthélie
,,,,,,Muscadet
6.533333333333334,48.43333333333334,26.366666666666664,29.5,44.1,1.2866666666666666,Montlouis-sur-Loire
6.55,52.45,30.8,20.75,48.45,1.31,Montrachet
6.65,47.25,24.9,31.95,43.2,1.315,Montravel
6.4,52.8,21.5,37.4,41.1,1.3,Morgon
6.2,54.0,31.9,18.3,49.8,1.22,Morey-Saint-Denis
,,,,,,Muscadet Coteaux de la Loire
,,,,,,Moulin-à-Vent
,,,,,,Moulis ou Moulis-en-Médoc
,,,,,,Muscadet Côtes de Grandlieu
6.3,47.650000000000006,15.649999999999999,41.15,43.25,1.245,Muscadet Sèvre et Maine
7.633333333333334,47.36666666666667,23.5,37.96666666666666,38.53333333333333,1.3033333333333335,Muscat de Beaumes-de-Venise
7.7,51.5,32.2,29.8,37.9,1.32,Muscat de Frontignan ou Frontignan ou Vin de Frontignan
7.466666666666666,45.36666666666667,26.53333333333333,31.233333333333334,42.23333333333333,1.3133333333333335,Muscat de Lunel
7.550000000000001,48.8,30.35,30.6,39.05,1.315,Muscat de Mireval
,,,,,,Médoc
7.5,44.425,26.85,32.4,40.75,1.3375,Muscat de Rivesaltes
6.7,50.699999999999996,29.53333333333333,19.03333333333333,51.46666666666667,1.3100000000000003,Musigny
6.233333333333334,53.400000000000006,25.433333333333334,36.03333333333333,38.56666666666667,1.24,Mâcon
7.0,47.4,29.85,33.95,36.2,1.245,Muscat du Cap Corse
7.35,43.25,29.15,26.65,44.25,1.26,Muscat de Saint-Jean-de-Minervois
6.6,51.3,30.8,19.8,49.4,1.31,Nuits-Saint-Georges
6.6,47.2,22.2,37.9,39.9,1.31,Orléans-Cléry
,,,,,,Orléans
,,,,,,Pacherenc du Vic-Bilh
7.6,46.5,26.1,28.7,45.2,1.29,Palette
,,,,,,Pierrevert
6.699999999999999,55.849999999999994,24.049999999999997,50.5,25.450000000000003,1.3050000000000002,Pauillac
7.133333333333333,45.5,25.566666666666666,35.333333333333336,39.06666666666666,1.2233333333333334,Patrimonio
6.633333333333333,51.666666666666664,26.7,24.333333333333332,48.93333333333334,1.3066666666666666,Pernand-Vergelesses
7.35,45.599999999999994,26.8,25.425,47.775,1.255,Pic Saint-Loup
6.5,45.8,19.8,51.3,28.9,1.31,Pessac-Léognan
6.933333333333334,52.06666666666666,32.96666666666667,19.266666666666666,47.76666666666667,1.3166666666666667,Petit Chablis
7.65,44.974999999999994,27.000000000000004,34.2,38.775000000000006,1.3125,Picpoul de Pinet
6.85,47.1,23.8,43.7,32.5,1.3450000000000002,Pomerol
6.7,54.0,29.2,23.9,46.9,1.28,Pommard
6.3,50.95,22.25,36.2,41.6,1.32,Pouilly-Fuissé
6.9,48.0,33.8,22.0,44.2,1.3,Pouilly-sur-Loire
6.2,50.4,21.9,35.2,43.0,1.33,Pouilly-Loché
,,,,,,Pouilly-Fumé ou Blanc Fumé de Pouilly
,,,,,,Pouilly-Vinzelles
,,,,,,Premières Côtes de Bordeaux
,,,,,,Reuilly
6.8,48.95,23.6,37.9,38.5,1.36,Puisseguin Saint-Emilion
6.3999999999999995,48.4,20.166666666666668,41.6,38.233333333333334,1.32,Quincy
6.425,50.15,20.425,36.975,42.574999999999996,1.2650000000000001,Quarts de Chaume
7.5200000000000005,46.0,29.279999999999994,33.08,37.64,1.324,Rasteau
6.659999999999999,51.21999999999999,30.9,19.74,49.35999999999999,1.322,Richebourg
6.7,52.5,32.0,19.3,48.8,1.3,Romanée-Conti
,,,,,,Roussette de Savoie
,,,,,,Roussette du Bugey
6.65,50.1,32.95,17.9,49.15,1.275,Puligny-Montrachet
6.9,51.4,29.5,32.0,38.6,1.34,Pécharmant
6.7,48.3,20.8,38.2,41.0,1.29,Rosé d'Anjou
,,,,,,Sable de Camargue
6.6,46.7,27.5,33.1,39.4,1.28,Rosé de Loire
6.7,47.6,24.0,51.0,25.0,1.18,Rivesaltes
,,,,,,Romanée-Saint-Vivant
,,,,,,Rosette
6.9,50.4,30.6,17.3,52.1,1.33,Ruchottes-Chambertin
6.1,56.1,24.0,43.1,33.0,1.25,Rully
6.35,52.4,23.25,36.55,40.2,1.315,Régnié
7.0,52.400000000000006,30.46666666666667,20.333333333333332,49.199999999999996,1.34,Saint-Bris
6.366666666666667,50.666666666666664,24.333333333333332,36.13333333333333,39.56666666666666,1.3166666666666667,Saint-Amour
6.625,52.95,28.725,26.35,44.9,1.29,Saint-Aubin
6.866666666666667,49.56666666666666,25.233333333333334,41.7,33.03333333333333,1.33,Saint-Emilion
6.766666666666667,50.5,24.03333333333333,44.20000000000001,31.73333333333333,1.346666666666667,Saint-Emilion grand cru
7.5,50.650000000000006,24.55,29.700000000000003,45.75,1.24,Saint-Chinian
6.2,46.5,23.8,34.8,41.4,1.21,Saint-Joseph
6.866666666666667,50.56666666666666,23.733333333333334,34.86666666666667,41.4,1.3466666666666667,Saint-Georges-Saint-Emilion
,,,,,,Saint-Pourçain
6.775,55.925,28.1,38.925,32.975,1.3025,Saint-Estèphe
,,,,,,Saint-Sardos
,,,,,,Saint-Mont
,,,,,,Saint-Julien
,,,,,,Saumur
,,,,,,Saint-Péray
6.5,51.7,22.1,39.9,38.1,1.27,Saint-Nicolas-de-Bourgueil
6.7,53.9,30.8,24.1,45.1,1.26,Saint-Romain
6.3,51.70000000000001,23.03333333333333,34.733333333333334,42.233333333333334,1.31,Saint-Véran
6.449999999999999,48.85,24.1,36.5,39.400000000000006,1.31,Sainte-Croix-du-Mont
6.6,53.95,30.9,31.5,37.6,1.2349999999999999,Santenay
6.775,48.5,29.499999999999996,22.975,47.55,1.3125,Sancerre
6.625,49.45,26.65,32.975,40.375,1.2975,Saussignac
6.533333333333334,49.96666666666666,24.133333333333336,44.133333333333326,31.7,1.3100000000000003,Sauternes
6.3999999999999995,53.63333333333333,20.333333333333332,43.73333333333333,35.9,1.2566666666666666,Saumur-Champigny
6.266666666666667,51.199999999999996,19.333333333333332,35.199999999999996,45.46666666666667,1.2533333333333332,Savennières
,,,,,,Terrasses du Larzac
6.2,51.1,18.9,34.7,46.4,1.24,Savennières Roche aux Moines
6.6,54.8,27.7,24.5,47.8,1.3,Savigny-lès-Beaune
7.449999999999999,47.85,31.0,22.799999999999997,46.3,1.225,Taureau de Camargue
,,,,,,Touraine Noble Joué
,,,,,,Seyssel
,,,,,,Vin de Savoie ou Savoie
,,,,,,Touraine
,,,,,,Valençay
7.3,44.5,31.2,34.2,34.6,1.26,Tavel
7.0,38.9,19.2,35.1,45.8,1.27,Vin de Corse ou Corse
5.825,50.625,22.225,27.5,50.27499999999999,1.1325,Tursan
7.6,43.05,24.8,39.95,35.25,1.32,Vacqueyras
7.6,44.2,24.700000000000003,33.45,41.85,1.31,Ventoux
6.739999999999999,51.81999999999999,30.02,17.2,52.8,1.296,Vougeot
6.675,51.375,31.175,18.325,50.5,1.3125,Vosne-Romanée
7.75,47.2,31.0,28.200000000000003,40.8,1.2850000000000001,Vinsobres
6.35,50.150000000000006,24.950000000000003,33.55,41.5,1.31,Viré-Clessé
6.65,52.55,31.3,21.4,47.3,1.295,Volnay
6.733333333333333,48.166666666666664,25.73333333333333,27.600000000000005,46.666666666666664,1.2833333333333332,Vouvray
,,,,,,Vézelay
